Título,Entidad,Ubicación,Convocatoria,Vacantes,Remuneración,Fecha Inicio,Fecha Fin,Departamento,,UNICOS
PERSONAL DE ATENCIÓN PERMANENTE,PROGRAMA INTEGRAL NACIONAL PARA EL BIENESTAR FAMILIAR - INABIF,LIMA - LOS OLIVOS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-128,1,"S/. 2,000.00",21/04/2026,5/05/2026,0,,MUNICIPALIDAD DISTRITAL DE OCCOBAMBA
IESTP JOSE PARDO A TRAVÉS DE LA OFICINA DE GESTIÓN DE LA EDUCACIÓN SUPERIOR,DIRECCION REGIONAL DE EDUCACION DE LIMA METROPOLITANA,LIMA - LA VICTORIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-033,1,"S/. 1,864.19",21/04/2026,5/05/2026,0,,PROYECTO ESPECIAL REGIONAL PLAN COPESCO DEL GOBIERNO REGIONAL DEL CUSCO
AUXILIAR COACTIVO,"SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCIAS - SUTRAN",LIMA - JESUS MARIA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-119,1,"S/. 5,500.00",21/04/2026,5/05/2026,0,,EMPRESA PRESTADORA DE SERVICIOS DE SANEAMIENTO ILO SOCIEDAD ANONIMA
ESPECIALISTA III EN GESTIÓN DE LA CALIDAD,PROGRAMA NACIONAL PARA LA EMPLEABILIDAD,LIMA - JESUS MARIA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-007,1,"S/. 7,000.00",21/04/2026,5/05/2026,0,,SUPERINTENDENCIA NACIONAL DE FISCALIZACION LABORAL - SUNAFIL
ANALISTA PROGRAMADOR DE SISTEMAS I,"SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCIAS - SUTRAN",LIMA - JESUS MARIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-116,1,"S/. 6,000.00",21/04/2026,5/05/2026,0,,UND. DE GESTION EDUCATIVA LOCAL SAN MART
ANALISTA EN ADMINISTRACIÓN DE REDES,SERVICIO NACIONAL DE METEOROLOGIA E HIDROLOGÍA DEL PERÚ - SENAMHI,LIMA - JESUS MARIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-021,1,"S/. 4,364.19",21/04/2026,5/05/2026,0,,MUNICIPALIDAD PROV. BELLAVISTA
PROGRAMADOR,"SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCIAS - SUTRAN",LIMA - JESUS MARIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-118,3,"S/. 3,500.00",21/04/2026,5/05/2026,0,,ZONA REGISTRAL NØ III SEDE MOYOBAMBA
PROGRAMADOR F,"SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCIAS - SUTRAN",LIMA - JESUS MARIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-117,1,"S/. 6,000.00",21/04/2026,5/05/2026,0,,DIRECCION REGIONAL DE EDUCACION SAN MARTIN
UN/A ESPECIALISTA LEGAL,MINIST. DE TRABAJO Y PROMOCION DEL EMPLEO,LIMA - JESUS MARIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-102,1,"S/. 7,000.00",21/04/2026,5/05/2026,0,,UNIDAD DE GESTION EDUCATIVA LOCAL DE TACNA - UGEL TACNA
ABOGADO POR SUPLENCIA TEMPORAL,UNIDAD DE GESTION EDUCATIVA LOCAL 04,LIMA - COMAS,D.LEG 1057 - DETERMINADO (SUPLENCIA)-049,1,"S/. 4,500.00",21/04/2026,5/05/2026,0,,DIRECCION REGIONAL DE EDUCACION TACNA
COORDINADOR (A) DE INNOVACIÓN Y SOPORTE TECNOLÓGICO,UNIDAD DE GESTION EDUCATIVA LOCAL 04,LIMA - COMAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-050,3,"S/. 1,714.19",21/04/2026,5/05/2026,0,,RED DE SALUD TACNA
ESPECIALISTA LEGAL II,DEFENSORIA DEL PUEBLO,LIMA - LIMA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-146,4,"S/. 8,500.00",21/04/2026,5/05/2026,0,,UNIDAD DE GESTION EDUCATIVA LOCAL DE TUMBES
ANALISTA SALUD OCUPACIONAL,SERVICIO DE ADMINISTRACION TRIBUTARIA,LIMA - LIMA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-017,1,"S/. 3,000.00",21/04/2026,5/05/2026,0,,ORGANISMO DE SUPERVISION DE LOS RECURSOS FORESTALES Y DE FAUNA SILVESTRE - OSINFOR
ASISTENTE DE TUTORÍA,PROGRAMA INTEGRAL NACIONAL PARA EL BIENESTAR FAMILIAR - INABIF,LIMA - LIMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-131,1,"S/. 1,500.00",21/04/2026,5/05/2026,0,,INTENDENCIA NACIONAL DE BOMBEROS DEL PERU O INBP
ASISTENTE LEGAL,PODER JUDICIAL,LIMA - LIMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-081,1,"S/. 4,000.00",21/04/2026,5/05/2026,0,,UNIDAD EJECUTORA 004 - FONDO DE COOPERACION PARA EL DESARROLLO SOCIAL
AUXILIAR DE GESTIÓN ADMINISTRATIVA,PODER JUDICIAL,LIMA - LIMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-082,1,"S/. 2,500.00",21/04/2026,5/05/2026,0,,JUNTA NACIONAL DE JUSTICIA
AUXILIAR LEGAL,PODER JUDICIAL,LIMA - LIMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-082,1,"S/. 2,300.00",21/04/2026,5/05/2026,0,,BIBLIOTECA NACIONAL DEL PERU
MEDICO,INSTITUTO DE MEDICINA LEGAL Y CIENCIAS FORENSES,LIMA - LIMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-43,50,"S/. 6,364.19",21/04/2026,5/05/2026,0,,MINISTERIO DE SALUD
AUXILIAR ADMINISTRATIVO III,PODER JUDICIAL,LIMA - LIMA,728-002,1,"S/. 3,840.00",21/04/2026,5/05/2026,0,,AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO - ATU
SECRETARIO III,PODER JUDICIAL,LIMA - LIMA,728-002,1,"S/. 4,710.00",21/04/2026,5/05/2026,0,,UNIDAD DE GESTION EDUCATIVA LOCAL 06
ANALISTA LEGAL,DEFENSORIA DEL PUEBLO,LIMA - CHILCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-74,2,"S/. 3,000.00",21/04/2026,5/05/2026,0,,ORGANISMO DE FORMALIZACION DE LA PROPIEDAD INFORMAL - COFOPRI
PERSONAL DE COCINA,UNIDAD DE GESTION EDUCATIVA LOCAL DE PUTUMAYO,LORETO - PUTUMAYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 1,494.19",21/04/2026,5/05/2026,0,,MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS
RESPONSABLE DE BIENESTAR,UNIDAD DE GESTION EDUCATIVA LOCAL DE PUTUMAYO,LORETO - PUTUMAYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 2,864.19",21/04/2026,5/05/2026,0,,HOSPITAL DE APOYO DEPARTAMENTAL MARIA AU
ASISTENTE ASESORÍA LEGAL,UNIDAD DE GESTION EDUCATIVA UCAYALI - CONTAMANA,LORETO - CONTAMANA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-05,1,"S/. 1,950.00",21/04/2026,5/05/2026,0,,SERVICIO NACIONAL DE SANIDAD AGRARIA
AUXILIAR ADMINISTRATIVO,UNIDAD DE GESTION EDUCATIVA UCAYALI - CONTAMANA,LORETO - CONTAMANA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-05,2,"S/. 2,200.00",21/04/2026,5/05/2026,0,,MINISTERIO DE DESARROLLO E INCLUSION SOCIAL
ESPECIALISTA ADMINISTRATIVO II,UNIDAD DE GESTION EDUCATIVA UCAYALI - CONTAMANA,LORETO - CONTAMANA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-05,1,"S/. 3,299.19",21/04/2026,5/05/2026,0,,UNIDAD EJECUTORA 413 SALUD ASCOPE
PERSONAL DE LIMPIEZA Y MANTENIMIENTO,UNIDAD DE GESTION EDUCATIVA UCAYALI - CONTAMANA,LORETO - CONTAMANA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-05,7,"S/. 1,495.00",21/04/2026,5/05/2026,0,,MUNICIPALIDAD DISTRITAL DE AUCALLAMA
OFICINISTA,UNIDAD DE GESTION EDUCATIVA UCAYALI - CONTAMANA,LORETO - CONTAMANA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-05,3,"S/. 2,198.19",21/04/2026,5/05/2026,0,,MUNICIPALIDAD PROVINCIAL DE CANTA
ASISTENTE ADMINISTRATIVO EN PATRIMONIO,UNIDAD DE GESTION EDUCATIVA DE ALTO AMAZONAS - YURIMAGUAS,LORETO - YURIMAGUAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-05,1,"S/. 1,300.00",21/04/2026,5/05/2026,0,,INSTITUTO NACIONAL DE INNOVACION AGRARIA
ASISTENTE ADMINISTRATIVO EN RECURSOS HUMANOS,UNIDAD DE GESTION EDUCATIVA DE ALTO AMAZONAS - YURIMAGUAS,LORETO - YURIMAGUAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-05,1,"S/. 1,699.00",21/04/2026,5/05/2026,0,,SUPERINTENDENCIA NACIONAL DE LOS REGISTROS PUBLICOS
